Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
教	教	教えます	jiào	gaau3	surname Jiao || to teach || religion / teaching / to make / to cause / to tell
教室	教室	教室	jiào shì	gaau3 sat1	classroom / CL: 間｜间
同学	同學	同級生	tóng xué	tung4 hok6	to study at the same school / fellow student / classmate / CL: 位, 個｜个
地理	地理	地理	dì lǐ	dei6 lei5	geography
理	理	理由	lǐ	lei5	texture / grain (of wood) / inner essence / intrinsic order / reason / logic / truth / science / natural science (esp. physics) / to manage / to pay attention to / to run (affairs) / to handle / to put in order / to tidy up
懂	懂	知っています	dǒng	dung2	to understand / to comprehend
问题	問題	問題	wèn tí	man6 tai4	question / problem / issue / topic / CL: 個｜个
笔	筆	ペン	bǐ	bat1	pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL: 支, 枝
题	題	タイトル	tí	tai4	surname Ti || topic / problem for discussion / exam question / subject / to inscribe / to mention / CL: 個｜个, 道
美术	美術	アート	měi shù	mei5 seot6	art / fine arts / painting / CL: 種｜种
术	術	テクニック	shù	seot6	method / technique || various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea
考试	考試	試験	kǎo shì	haau2 si3	to take an exam / exam / CL: 次
准备	准備	レディ	zhǔn bèi	zeon2 bei6	preparation / to prepare / to intend / to be about to / reserve (fund)
考	考	テスト	kǎo	haau2	to beat / to hit / variant of 考 / to inspect / to test / to take an exam || to check / to verify / to test / to examine / to take an exam / to take an entrance exam for / deceased father
备	備	設備	bèi	bei6	to prepare / get ready / to provide or equip
科学	科學	科学	kē xué	fo1 hok6	science / scientific knowledge / scientific / rational / CL: 門｜门, 個｜个, 種｜种
科	科	家族	kē	fo1	branch of study / administrative section / division / field / branch / stage directions / family (taxonomy) / rules / laws / to mete out (punishment) / to levy (taxes etc) / to fine sb / CL: 個｜个
下课	下課	フィニッシュクラス	xià kè	haa6 fo3	to finish class / to get out of class
爷爷	爺爺	祖父	yé ye	je4 je4	(coll.) father's father / paternal grandfather / CL: 個｜个
奶奶	奶奶	祖母	nǎi nai	naai5 naai5	(informal) grandma (paternal grandmother) / (respectful) mistress of the house / CL: 位 / (coll.) boobies / breasts
阿姨	阿姨	おばさん	ā yí	aa3 ji4	maternal aunt / step-mother / childcare worker / nursemaid / woman of similar age to one's parents (term of address used by child) / CL: 個｜个
爷	爺	父	yé	je4	grandpa / old gentleman
阿	阿	A	ā	aa3	abbr. for Afghanistan 阿富汗 || prefix used before monosyllabic names, kinship terms etc to indicate familiarity / used in transliteration / also pr. [a4] || flatter
姨	姨	叔母	yí	ji4	mother's sister / aunt
兄弟姐妹	兄弟姐妹	兄弟姉妹	xiōng dì jiě mèi	hing1 dai6 ze2 mui6	Brothers and Sisters
关系	關系	関係	guān xi	gwaan1 hai6	relation / relationship / to concern / to affect / to have to do with / guanxi / CL: 個｜个
叔叔	叔叔	叔父	shū shu	suk1 suk1	father's younger brother / uncle / Taiwan pr. [shu2 shu5] / CL: 個｜个
父母	父母	両親	fù mǔ	fu6 mou5	father and mother / parents
兄	兄	兄貴	xiōng	hing1	elder brother
叔	叔	T	shū	suk1	uncle / father's younger brother / husband's younger brother / Taiwan pr. [shu2]
父	父	父	fù	fu6	father
母	母	母	mǔ	mou5	mother / elderly female relative / origin / source / (of animals) female
像	像	以下のような	xiàng	zoeng6	to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)
一样	一樣	以下のような	yī yàng	jat1 joeng6	same / like / equal to / the same as / just like
亲戚	親戚	相対	qīn qi	can1 cik1	a relative (i.e. family relation) / CL: 門｜门, 個｜个, 位
戚	戚	チー	qī	cik1	surname Qi || relative / parent / grief / sorrow / battle-axe
亲	親	親	qīn	can1	parent / one's own (flesh and blood) / relative / related / marriage / bride / close / intimate / in person / first-hand / in favor of / pro- / to kiss / (Internet slang) dear || parents-in-law of one's offspring
拉面	拉面	ラーメン	lā miàn	laai1 min6	pulled noodles / ramen
点心	點心	デザート	diǎn xin	dim2 sam1	light refreshments / pastry / dimsum (in Cantonese cooking) / dessert
小笼包	小籠包	餃子	xiǎo lóng bāo	siu2 lung4 baau1	steamed dumpling
拉	拉	引きます	lā	laai1	to pull / to play (a bowed instrument) / to drag / to draw / to chat
笼	籠	ケージ	lóng	lung4	enclosing frame made of bamboo, wire etc / cage / basket / steamer basket / to cover / to cage / to embrace / to manipulate through trickery || to cover / to cage / covering / also pr. [long2]
粥	粥	粥	yù	zuk1	see 葷粥｜荤粥 || congee / gruel / porridge / CL: 碗
油条	油條	フリッター	yóu tiáo	jau4 tiu4	youtiao (deep-fried breadstick) / CL: 根 / slick and sly person
豆浆	豆漿	ミルク	dòu jiāng	dau6 zoeng1	soy milk
豆	豆	豆	dòu	dau6	bean / pea / CL: 棵, 粒 / sacrificial vessel
浆	漿	パルプ	jiāng	zoeng1	broth / serum / to starch || starch paste
火锅	火鍋	火皿	huǒ guō	fo2 wo1	hotpot
包子	包子	丸パン	bāo zi	baau1 zi2	steamed stuffed bun / CL: 個｜个
炒饭	炒飯	チャーハン	chǎo fàn	caau2 faan6	fried rice / (slang) (Tw) to have sex
锅	鍋	ポット	guō	wo1	pot / pan / boiler / CL: 口, 隻｜只
炒	炒	稚魚	chǎo	caau2	to sauté / to stir-fry / to speculate / to hype / to fire (sb)
夏	夏	夏	xià	haa6	the Xia or Hsia dynasty c. 2000 BC / Xia of the Sixteen Kingdoms (407-432) / surname Xia || summer
冬	冬	冬	dōng	dung1	winter || surname Dong || (onom.) beating a drum / rat-a-tat
秋	秋	秋	qiū	cau1	surname Qiu || autumn / fall / harvest time || see 鞦韆｜秋千
季	季	シーズン	jì	gwai3	surname Ji || season / the last month of a season / fourth or youngest amongst brothers / classifier for seasonal crop yields
澳	澳	オーストラリア	ào	ou3	abbr. for Macao 澳門｜澳门 / abbr. for Australia 澳大利亞｜澳大利亚 || deep bay / cove / harbor
亚	亞	アジア	yà	ngaa3	Asia / Asian / second / next to / inferior / sub- / Taiwan pr. [ya3]
季节	季節	シーズン	jì jié	gwai3 zit3	time / season / period / CL: 個｜个
澳大利亚	澳大利亞	オーストラリア	ào dà lì yà	ou3 daai6 lei6 ngaa3	Australia
越来越	越來越	もっと	yuè lái yuè	jyut6 loi4 jyut6	more and more
前天	前天	一昨日	qián tiān	cin4 tin1	the day before yesterday
后天	後天	明後日	hòu tiān	hau6 tin1	the day after tomorrow / acquired (not innate) / a posteriori
堵车	堵車	交通渋滞	dǔ chē	dou2 ce1	traffic jam / choking
大概	大概	多分	dà gài	daai6 koi3	roughly / probably / rough / approximate / about / general idea
准时	准時	オン時間	zhǔn shí	zeon2 si4	on time / punctual / on schedule
刚	剛	ただ	gāng	gong1	hard / firm / strong / just / barely / exactly
堵	堵	ブロック	dǔ	dou2	to stop up / (to feel) stifled or suffocated / wall / classifier for walls
概	概	一般的な	gài	koi3	general / approximate
城	城	街	chéng	sing4	city walls / city / town / CL: 座, 道, 個｜个
附	附	付属の	fù	fu6	to add / to attach / to be close to / to be attached
园	園	ガーデン	yuán	jyun4	surname Yuan || land used for growing plants / site used for public recreation
城市	城市	街	chéng shì	sing4 si5	city / town / CL: 座
附近	附近	近所	fù jìn	fu6 gan6	(in the) vicinity / nearby / neighboring / next to
公园	公園	公園	gōng yuán	gung1 jyun4	park (for public recreation) / CL: 個｜个, 座
图	圖	マップ	tú	tou4	diagram / picture / drawing / chart / map / CL: 張｜张 / to plan / to scheme / to attempt / to pursue / to seek
方	方	広場	fāng	fong1	surname Fang || square / power or involution (mathematics) / upright / honest / fair and square / direction / side / party (to a contract, dispute etc) / place / method / prescription (medicine) / just when / only or just / classifier for square things / abbr. for square or cubic meter
中间	中間	真ん中	zhōng jiān	zung1 gaan1	between / intermediate / mid / middle
图书馆	圖書館	ライブラリー	tú shū guǎn	tou4 syu1 gun2	library / CL: 家, 個｜个
地方	地方	場所	dì fāng	dei6 fong1	region / regional (away from the central administration) / local || area / place / space / room / territory / CL: 處｜处, 個｜个, 塊｜块
上面	上面	上の	shàng miàn	soeng5 min6	on top of / above-mentioned / also pr. [shang4 mian5]
下面	下面	以下	xià miàn	haa6 min6	below / under / next / the following / also pr. [xia4 mian5] || to boil noodles
咖啡馆	咖啡館	カフェ	kā fēi guǎn	gaa1 fe1 gun2	café / coffee shop / CL: 家
折	折	折ります	shé	zit3	to break (e.g. stick or bone) / a loss || to turn sth over / to turn upside down / to tip sth out (of a container) || to break / to fracture / to snap / to suffer loss / to bend / to twist / to turn / to change direction / convinced / to convert into (currency) / discount / rebate / tenth (in price) / classifier for theatrical scenes / to fold / accounts book
角	角	角度	jué	gok3	surname Jue || angle / corner / horn / horn-shaped / unit of money equal to 0.1 yuan / CL: 個｜个 || role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale
花	花	花	huā	faa1	surname Hua || flower / blossom / CL: 朵, 支, 束, 把, 盆, 簇 / fancy pattern / florid / to spend (money, time)
打折	打折	割引	dǎ zhé	daa2 zit3	to give a discount
旧	舊	古いです	jiù	gau6	old / opposite: new 新 / former / worn (with age)
皮	皮	革	pí	pei4	surname Pi || leather / skin / fur / CL: 張｜张 / pico- (one trillionth) / naughty
换	換	変更	huàn	wun6	to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency)
皮鞋	皮鞋	革の靴	pí xié	pei4 haai4	leather shoes
经过	經過	スルー	jīng guò	ging1 gwo3	to pass / to go through / process / course / CL: 個｜个
退货	退貨	収益	tuì huò	teoi3 fo3	to return merchandise / to withdraw a product
退款	退款	返金	tuì kuǎn	teoi3 fun2	to refund / refund
退	退	後退	tuì	teoi3	to retreat / to decline / to move back / to withdraw
货	貨	グッズ	huò	fo3	goods / money / commodity / CL: 個｜个
款	款	セクション	kuǎn	fun2	section / paragraph / funds / CL: 筆｜笔, 個｜个 / classifier for versions or models (of a product)
袋子	袋子	袋	dài zi	doi6 zi2	bag
惯	慣	のに使われます	guàn	gwaan3	accustomed to / used to / indulge / to spoil (a child)
刷	刷	ブラシ	shuā	caat3	to brush / to paint / to daub / to paste up / to skip class (of students) / to fire from a job || to select
习惯	習慣	習慣	xí guàn	zaap6 gwaan3	habit / custom / usual practice / to be used to / CL: 個｜个
刷牙	刷牙	ブラシ歯	shuā yá	caat3 ngaa4	to brush one's teeth
马上	馬上	直ちに	mǎ shàng	maa5 soeng5	at once / right away / immediately / on horseback (i.e. by military force)
以后	以後	後	yǐ hòu	ji5 hau6	after / later / afterwards / following / later on / in the future
澡	澡	風呂	zǎo	zou2	bath
总	總	全体的な	zǒng	zung2	always / to assemble / gather / total / overall / head / chief / general / in every case
洗澡	洗澡	入浴	xǐ zǎo	sai2 zou2	to bathe / to take a shower
一边	一邊	片側	yī biān	jat1 bin1	one side / either side / on the one hand / on the other hand / doing while
总是	總是	常に	zǒng shì	zung2 si6	always
讲	講	話します	jiǎng	gong2	to speak / to explain / to negotiate / to emphasise / to be particular about / as far as sth is concerned / speech / lecture
故	故	故に	gù	gu3	happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead
故事	故事	物語	gù shì	gu3 si6	old practice / CL: 個｜个 || narrative / story / tale
以前	以前	前	yǐ qián	ji5 cin4	before / formerly / previous / ago
做梦	做夢	夢	zuò mèng	zou6 mung6	to dream / to have a dream / fig. illusion / fantasy / pipe dream
梦	夢	夢	mèng	mung6	dream / CL: 場｜场, 個｜个
除	除	除きます	chú	ceoi4	to get rid of / to remove / to exclude / to eliminate / to wipe out / to divide / except / not including
其	其	それの	qí	kei4	his / her / its / their / that / such / it (refers to sth preceding it)
饺	餃	団子	jiǎo	gaau2	dumplings with meat filling
北方	北方	北	běi fāng	bak1 fong1	north / the northern part a country / China north of the Yellow River
除了	除了	に加えて	chú le	ceoi4 liu5	besides / apart from (... also...) / in addition to / except (for)
其他	其他	他の	qí tā	kei4 taa1	other / (sth or sb) else / the rest
饺子	餃子	餃子	jiǎo zi	gaau2 zi2	dumpling / pot-sticker / CL: 個｜个, 隻｜只
辣	辣	スパイシー	là	laat6	hot (spicy) / pungent
极	極	ポール	jí	gik6	extremely / pole (geography, physics) / utmost / top
苦	苦	苦いです	kǔ	fu2	bitter / hardship / pain / to suffer / to bring suffering to / painstakingly
盐	鹽	塩	yán	jim4	salt / CL: 粒
咸	鹹	辛味	xián	haam4	surname Xian || all / everyone / each / widespread / harmonious || salted / salty / stingy / miserly
南	南	南	nán	naam4	surname Nan || south
南方	南方	南	nán fāng	naam4 fong1	south / the southern part of the country / the South
难吃	難吃	不味いです	nán chī	naan4 hek3	unpalatable
级	級	レベル	jí	kap1	level / grade / rank / step (of stairs) / CL: 個｜个 / classifier: step, level
个子	個子	身長	gè zi	go3 zi2	height / stature / build / size
年级	年級	年	nián jí	nin4 kap1	grade / year (in school, college etc) / CL: 個｜个
小学	小學	小学校	xiǎo xué	siu2 hok6	elementary school / primary school / CL: 個｜个
初中	初中	中学校	chū zhōng	co1 zung1	junior high school / abbr. for 初級中學｜初级中学
初	初	早いです	chū	co1	at first / (at the) beginning / first / junior / basic
较	較	比較的に	jiào	gaau3	to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3]
年轻	年輕	若いです	nián qīng	nin4 hing1	young
比较	比較	比較します	bǐ jiào	bei2 gaau3	to compare / to contrast / comparatively / relatively / quite / comparison
眼镜	眼鏡	眼鏡	yǎn jìng	ngaan5 geng3	spectacles / eyeglasses / CL: 副
戴	戴	着用	dài	daai3	surname Dai || to put on or wear (glasses, hat, gloves etc) / to respect / to bear / to support
镜	鏡	ミラー	jìng	geng3	mirror / lens
先	先	最初の	xiān	sin1	early / prior / former / in advance / first
然后	然後	それから	rán hòu	jin4 hau6	after / then (afterwards) / after that / afterwards
西边	西邊	西	xī biān	sai1 bin1	west / west side / western part / to the west of
东边	東邊	東	dōng bian	dung1 bin1	east / east side / eastern part / to the east of
北边	北邊	北	běi biān	bak1 bin1	north / north side / northern part / to the north of
一直	一直	アップ	yī zhí	jat1 zik6	straight (in a straight line) / continuously / always / from the beginning of ... up to ... / all along
最后	最後	遂に	zuì hòu	zeoi3 hau6	final / last / finally / ultimate
南边	南邊	南	nán bian	naam4 bin1	south / south side / southern part / to the south of
直	直	ストレート	zhí	zik6	surname Zhi / Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝 descended from Shennong 神農｜神农 Farmer God || straight / to straighten / fair and reasonable / frank / straightforward / (indicates continuing motion or action) / vertical / vertical downward stroke in Chinese characters
迷路	迷路	迷子になります	mí lù	mai4 lou6	to lose the way / lost / labyrinth / labyrinthus vestibularis (of the inner ear)
地址	地址	アドレス	dì zhǐ	dei6 zi2	address / CL: 個｜个
周围	周圍	周りに	zhōu wéi	zau1 wai4	surroundings / environment / to encompass
迷	迷	ファン	mí	mai4	to bewilder / crazy about / fan / enthusiast / lost / confused
址	址	サイト	zhǐ	zi2	location / site
围	圍	囲います	wéi	wai4	surname Wei || to encircle / to surround / all around / to wear by wrapping around (scarf, shawl)
般	般	ソート	bān	bun1	sort / kind / class / way / manner || see 般樂｜般乐
聊	聊	チャット	liáo	liu4	to chat / to depend upon (literary) / temporarily / just / slightly
聊天	聊天	チャット	liáo tiān	liu4 tin1	to chat / to gossip
一般	一般	一般的な	yī bān	jat1 bun1	same / ordinary / so-so / common / general / generally / in general
见面	見面	会います	jiàn miàn	gin3 min6	to meet / to see each other / CL: 次
自己	自己	自分の	zì jǐ	zi6 gei2	oneself / one's own
一个人	一個人	人	yī gè rén	jat1 go3 jan4	by oneself (without assistance) / alone (without company)
自	自	から	zì	zi6	self / oneself / from / since / naturally / surely
己	己	持っています	jǐ	gei2	self / oneself / sixth of the ten Heavenly Stems 十天干 / sixth in order / letter 'F' or roman 'VI' in list 'A, B, C', or 'I, II, III' etc / hexa
证	證	証明書	zhèng	zing3	to admonish / variant of 證｜证 || certificate / proof / to prove / to demonstrate / to confirm / variant of 症
签	簽	看板	qiān	cim1	to sign one's name / visa / variant of 籤｜签 || inscribed bamboo stick (used in divination, gambling, drawing lots etc) / small wood sliver / label / tag
护	護	守ります	hù	wu6	to protect
护照	護照	パスポート	hù zhào	wu6 ziu3	passport / CL: 本, 個｜个
签证	簽證	ビザ	qiān zhèng	cim1 zing3	visa / certificate / to certify / CL: 個｜个
发现	發現	発見	fā xiàn	faat3 jin6	to find / to discover
起飞	起飛	離陸	qǐ fēi	hei2 fei1	(of an aircraft) to take off
离开	離開	去ります	lí kāi	lei4 hoi1	to depart / to leave
检查	檢查	検査	jiǎn chá	gim2 caa4	inspection / to examine / to inspect / CL: 次
行李	行李	荷物	xíng li	hang4 lei5	luggage / CL: 件
安全	安全	セキュリティ	ān quán	ngon1 cyun4	safe / secure / safety / security
检	檢	チェック	jiǎn	gim2	to check / to examine / to inspect / to exercise restraint
查	查	検索	zhā	caa4	surname Zha || to research / to check / to investigate / to examine / to refer to / to look up (e.g. a word in a dictionary) || see 山查
几乎	幾乎	殆ど	jī hū	gei2 fu4	almost / nearly / practically
忘记	忘記	忘れます	wàng jì	mong4 gei3	to forget
海关	海關	税関	hǎi guān	hoi2 gwaan1	customs (i.e. border crossing inspection) / CL: 個｜个
忘	忘	忘れます	wàng	mong4	to forget / to overlook / to neglect
记	記	思い出します	jì	gei3	to record / to note / to memorize / to remember / mark / sign / classifier for blows, kicks, shots
乎	乎	ダウン	hū	fu4	(classical particle similar to 於｜于) in / at / from / because / than / (classical final particle similar to 嗎｜吗, 吧, 呢, expressing question, doubt or astonishment)
言	言	スピーチ	yán	jin4	words / speech / to say / to talk
易	易	イージー	yì	ji6	surname Yi / abbr. for 易經｜易经, the Book of Changes || easy / amiable / to change / to exchange
容	容	許します	róng	jung4	surname Rong || to hold / to contain / to allow / to tolerate / appearance / look / countenance
种	種	種類	zhǒng	zung2	seed / species / kind / type / classifier for types, kinds, sorts || to plant / to grow / to cultivate
容易	容易	イージー	róng yì	jung4 ji6	easy / likely / liable (to)
语言	語言	言語	yǔ yán	jyu5 jin4	language / CL: 門｜门, 種｜种
更	更	もっと	gēng	gang3	to change or replace / to experience / one of the five two-hour periods into which the night was formerly divided / watch (e.g. of a sentry or guard) || more / even more / further / still / still more
努力	努力	努力	nǔ lì	nou5 lik6	great effort / to strive / to try hard
汉字	漢字	漢字	hàn zì	hon3 zi6	Chinese character / CL: 個｜个 / Japanese: kanji / Korean: hanja / Vietnamese: hán tự
努	努	努力	nǔ	nou5	to exert / to strive
提高	提高	増加	tí gāo	tai4 gou1	to raise / to increase / to improve
水平	水平	レベル	shuǐ píng	seoi2 ping4	level (of achievement etc) / standard / horizontal
后来	後來	後	hòu lái	hau6 loi4	afterwards / later
提	提	言及	tí	tai4	to carry (hanging down from the hand) / to lift / to put forward / to mention / to raise (an issue) / upwards character stroke / lifting brush stroke (in painting) / scoop for measuring liquid
平	平	フラット	píng	ping4	surname Ping || flat / level / equal / to tie (make the same score) / to draw (score) / calm / peaceful / see also 平聲｜平声
看起来	看起來	ルックス	kàn qǐ lai	hon3 hei2 loi4	seemingly / apparently / looks as if / appear to be / gives the impression that / seems on the face of it to be
奇怪	奇怪	奇妙	qí guài	kei4 gwaai3	strange / odd / to marvel / to be baffled
生气	生氣	怒りました	shēng qì	saang1 hei3	to get angry / to take offense / angry / vitality / liveliness
紧张	緊張	テンション	jǐn zhāng	gan2 zoeng1	nervous / keyed up / intense / tense / strained / in short supply / scarce / CL: 陣｜阵
奇	奇	奇妙な	jī	kei4	odd (number) || strange / odd / weird / wonderful / surprisingly / unusually
怪	怪	奇妙	guài	gwaai3	bewildering / odd / strange / uncanny / devil / monster / to wonder at / to blame / quite / rather
紧	緊	タイト	jǐn	gan2	tight / strict / close at hand / near / urgent / tense / hard up / short of money / to tighten
难过	難過	ソーリー	nán guò	naan4 gwo3	to feel sad / to feel unwell / (of life) to be difficult
哭	哭	叫び	kū	huk1	to cry / to weep
可怕	可怕	ひどいです	kě pà	ho2 paa3	awful / dreadful / fearful / formidable / frightful / scary / hideous / horrible / terrible / terribly
热情	熱情	熱意	rè qíng	jit6 cing4	cordial / enthusiastic / passion / passionate / passionately
关心	關心	憂慮	guān xīn	gwaan1 sam1	to be concerned about / to care about
经常	經常	しばしば	jīng cháng	ging1 soeng4	frequently / constantly / regularly / often / day-to-day / everyday / daily
遇到	遇到	経験	yù dào	jyu6 dou3	to meet / to run into / to come across
好笑	好笑	おもしろいです	hǎo xiào	hou2 siu3	laughable / funny / ridiculous
遇	遇	出会い	yù	jyu6	surname Yu || to meet / to encounter / to treat / to receive / opportunity / chance
求	求	頼みます	qiú	kau4	to seek / to look for / to request / to demand / to beseech
校长	校長	校長	xiào zhǎng	haau6 coeng4	(college, university) president / headmaster / CL: 個｜个, 位, 名
要求	要求	請求	yāo qiú	jiu3 kau4	to request / to require / requirement / to stake a claim / to ask / to demand / CL: 點｜点
食堂	食堂	水筒	shí táng	sik6 tong4	dining hall / CL: 個｜个, 間｜间
食	食	食べ物	shí	sik6	to eat / food / animal feed / eclipse || to feed
堂	堂	ホール	táng	tong4	(main) hall / large room for a specific purpose / CL: 間｜间 / relationship between cousins etc on the paternal side of a family / of the same clan / classifier for classes, lectures etc / classifier for sets of furniture
必须	必須	しなければなりません	bì xū	bit1 seoi1	to have to / must / compulsory / necessarily
完成	完成	完成	wán chéng	jyun4 sing4	to complete / to accomplish
作业	作業	仕事	zuò yè	zok3 jip6	school assignment / homework / work / task / operation / CL: 個｜个 / to operate
高中	高中	シニア中学校	gāo zhōng	gou1 zung1	senior high school / abbr. for 高級中學｜高级中学 || to pass brilliantly (used in congratulatory fashion)
必	必	しなければなりません	bì	bit1	certainly / must / will / necessarily
成	成	なります	chéng	sing4	surname Cheng || to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth
须	須	しなければなりません	xū	seoi1	must / to have to / to wait || beard / mustache / feeler (of an insect etc) / tassel
业	業	業界	yè	jip6	surname Ye || line of business / industry / occupation / job / employment / school studies / enterprise / property / (Buddhism) karma / deed / to engage in / already
向	向	へ	xiàng	hoeng3	surname Xiang || towards / to face / to turn towards / direction / to support / to side with / shortly before / formerly / always / all along || to tend toward / to guide / variant of 向
借	借	借ります	jiè	ze3	to lend / to borrow / by means of / to take (an opportunity)
笔记	筆記	注釈	bǐ jì	bat1 gei3	to take down (in writing) / notes / a type of literature consisting mainly of short sketches / CL: 本
铅笔	鉛筆	鉛筆	qiān bǐ	jyun4 bat1	(lead) pencil / CL: 支, 枝, 桿｜杆
铅	鉛	リード	qiān	jyun4	lead (chemistry)
清楚	清楚	明確な	qīng chu	cing1 co2	clear / distinct / to understand thoroughly / to be clear about
黑板	黑板	黒板	hēi bǎn	hak1 baan2	blackboard / CL: 塊｜块, 個｜个
笔记本	筆記本	ノート	bǐ jì běn	bat1 gei3 bun2	notebook (stationery) / CL: 本 / notebook (computing)
清	清	明確な	qīng	cing1	Qing or Ch'ing dynasty of Imperial China (1644-1911) / surname Qing || clear / distinct / quiet / just and honest / pure / to settle or clear up / to clean up or purge
楚	楚	チュー	chǔ	co2	surname Chu / abbr. for Hubei 湖北省 and Hunan 湖南省 provinces together / Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC) || distinct / clear / orderly / pain / suffering / deciduous bush used in Chinese medicine (genus Vitex) / punishment cane (old)
板	板	ボード	bǎn	baan2	board / plank / plate / shutter / table tennis bat / clappers (music) / CL: 塊｜块 / accented beat in Chinese music / hard / stiff / to stop smiling or look serious || see 老闆｜老板, boss || to catch sight of in a doorway (old)
体育馆	體育館	スタジアム	tǐ yù guǎn	tai2 juk6 gun2	gym / gymnasium / stadium / CL: 個｜个
化	化	の	huà	faa3	to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學｜化学
算	算	カウント	suàn	syun3	to regard as / to figure / to calculate / to compute
搬	搬	動き	bān	bun1	to move (i.e. relocate oneself) / to move (sth relatively heavy or bulky) / to shift / to copy indiscriminately
变	變	変更	biàn	bin3	to change / to become different / to transform / to vary / rebellion
打算	打算	予定の	dǎ suàn	daa2 syun3	to plan / to intend / to calculate / plan / intention / calculation / CL: 個｜个
变化	變化	変更	biàn huà	bin3 faa3	change / variation / to change / to vary / CL: 個｜个
机会	機會	チャンス	jī huì	gei1 wui2	opportunity / chance / occasion / CL: 個｜个
留学	留學	留学	liú xué	lau4 hok6	to study abroad
国家	國家	国	guó jiā	gwok3 gaa1	country / nation / state / CL: 個｜个
选择	選擇	選択	xuǎn zé	syun2 zaak6	to select / to pick / choice / option / alternative
选	選	選択	xuǎn	syun2	to choose / to pick / to select / to elect
择	擇	選択してください	zé	zaak6	to select / to choose / to pick over / to pick out / to differentiate / to eliminate / also pr. [zhai2]
结婚	結婚	結婚	jié hūn	git3 fan1	to marry / to get married / CL: 次
愿意	願意	ウィリング	yuàn yì	jyun6 ji3	to wish / to want / ready / willing (to do sth)
认真	認真	深刻	rèn zhēn	jing6 zan1	conscientious / earnest / serious / to take seriously / to take to heart
结	結	結び目	jiē	git3	(of a plant) to produce (fruit or seeds) / Taiwan pr. [jie2] || knot / sturdy / bond / to tie / to bind / to check out (of a hotel)
愿	願	ウィリング	yuàn	jyun6	honest / prudent / variant of 願｜愿 || to hope / to wish / to desire / hoped-for / ready / willing
婚	婚	結婚	hūn	fan1	to marry / marriage / wedding / to take a wife
当然	當然	勿論	dāng rán	dong1 jin4	only natural / as it should be / certainly / of course / without doubt
放心	放心	安心して	fàng xīn	fong3 sam1	to feel relieved / to feel reassured / to be at ease
害怕	害怕	恐れて	hài pà	hoi6 paa3	to be afraid / to be scared
当	當	とき	dāng	dong1	(onom.) dong / ding dong (bell) || to be / to act as / manage / withstand / when / during / ought / should / match equally / equal / same / obstruct / just at (a time or place) / on the spot / right / just at || at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student)
害	害	害	hài	hoi6	to do harm to / to cause trouble to / harm / evil / calamity
怕	怕	恐れ	pà	paa3	surname Pa || to be afraid / to fear / to dread / to be unable to endure / perhaps
分手	分手	解体	fēn shǒu	fan1 sau2	to part company / to split up / to break up
境	境	領土	jìng	ging2	border / place / condition / boundary / circumstances / territory
环	環	リング	huán	waan4	surname Huan || ring / hoop / loop / (chain) link / classifier for scores in archery etc / to surround / to encircle / to hem in
层	層	層	céng	cang4	layer / stratum / laminated / floor (of a building) / storey / classifier for layers / repeated / sheaf (math.)
方便	方便	便利	fāng biàn	fong1 bin6	convenient / suitable / to facilitate / to make things easy / having money to spare / (euphemism) to relieve oneself
环境	環境	環境	huán jìng	waan4 ging2	environment / circumstances / surroundings / CL: 個｜个 / ambient
草	草	草	cǎo	cou2	grass / straw / manuscript / draft (of a document) / careless / rough / CL: 棵, 撮, 株, 根
太阳	太陽	太陽	tài yang	taai3 joeng4	sun / CL: 個｜个 / abbr. for 太陽穴｜太阳穴
星星	星星	スター	xīng xing	sing1 sing1	star in the sky
阳	陽	ポジティブ	yáng	joeng4	positive (electric.) / sun / male principle (Taoism) / Yang, opposite: 陰｜阴 ☯
安静	安靜	静かな	ān jìng	ngon1 zing6	quiet / peaceful / calm
楼	樓	床	lóu	lau4	surname Lou || house with more than 1 story / storied building / floor / CL: 層｜层, 座, 棟｜栋
静	靜	静かな	jìng	zing6	still / calm / quiet / not moving
声音	聲音	音	shēng yīn	seng1 jam1	voice / sound / CL: 個｜个
影响	影響	影響を及ぼす	yǐng xiǎng	jing2 hoeng2	influence / effect / to influence / to affect (usually adversely) / to disturb / CL: 股
邻居	鄰居	隣人	lín jū	leon4 geoi1	neighbor / next door / CL: 個｜个
声	聲	音	shēng	seng1	sound / voice / tone / noise / classifier for sounds
邻	鄰	隣人	lín	leon4	neighbor / adjacent / close to
